134963825.1,229890986.7,155591878.2,185096879.2,159871708,198075810.2,129417733.5,150320234.5,187364879.1,110909965,126954962.1,101850910.1,85756973.51,90354892.26,106992543.4,98644968.99,81797418.1,116381433.1,99280921.77,105316581.4,86944385.15,120562334.7,92261378.29,102910011.4,117014429.8,202228076.9,210460449,246164692.3,171891083.8,214118483.3,121026524.3,152994671.3,120169959,127511095.9,116105550.8,129014320.2,125582221.1,96207109.53,123026418,124654149.6,135308015.5,230372388.2,123955371.5,99966675.24,120510272
573702.225,723340.929,1008612.027,936984.177,913463.913,1259538.495,2250622.935,12270811.9,1730217.828,1260784.902,1536257.928,1280082.345,965580.93,1465099.062,1323021.546,1045508.097,2851005.381,1113247.686,1078553.154,1353801.993,1086020.499,1201999.371,892006.545,983128.548,937233.612,1009684.053,1244733.552,1494034.056,843983.409,883668.174,939191.577,1000517.478,1421968.968,945265.977,977262.264,1184310.282,909598.332,80220194.27,1409800.203,1033715.103,530723.145,1185679.584,988767.549,563136.258,692451.636
8391303861,9878784630,9157789138,6977744636,9435542011,7913878957,7565619326,7705988206,6543798708,7776361643,7403293713,4620770954,5228084591,4972355975,4482811463,6525094597,6116689384,6387303334,6585413706,6181665905,6345095030,7029997175,7662880644,7772819505,7242913625,9216913752,10031488950,9352722332,8558975784,10885386727,7452645438,8236917902,6546167880,7639920069,7620658585,7207319986,7370054092,6269802380,6892267258,6644260819,10640176324,15765708868,7440106758,8294529657,9066348843
2894727.099,1912745.67,2878328.367,2477345.511,2324981.631,6459257.58,9506059.08,6221532.891,5361820.803,6130923.336,10233301.17,4938665.04,6219362.718,5904430.092,8505726.015,14573881.93,8509650.516,16322298.63,14999657.23,11224253.27,17125313.96,13000114.54,10240733.84,14033301.8,17071546.96,16424790.02,16599569.12,7952474.601,14783840.32,21304100.53,9950055.114,10430971.81,9287734.902,17100577.72,9790111.884,14652295.26,6124474.569,10608867.61,12661607.42,11805398.16,22771192.27,21608524.72,11198452.35,6078548.802,14445607.85
94045903.29,50871633.51,61113982.23,51466825.05,58598483.99,37151363.63,39049432.83,15879177.86,21729237.08,36935872.68,41081193.07,59142688.22,34198644.94,30888943.79,49343395.03,41501146.04,15811198.68,31080669.2,27391489.44,38480321.33,34101957.68,16920665.14,10632044.47,35010019.85,22013913.31,17857557.78,15790573.99,9002994.426,6897522.051,13219026.42,12712966.85,11540699.31,5680536.291,4770527.331,9143340.465,14813548.88,13508289.26,7233050.265,10066320.77,13457368.32,12623867.27,20424702.01,12057383.04,8674762.026,9693877.146
311276.04,298491.681,419807.505,197637.849,392210.883,460590.228,1363634.454,592119.087,921270.552,893038.179,1806767.427,821104.575,6024731.892,2179012.116,8402528.766,11742672.9,8280370.194,11986210.7,8218929.876,6208060.128,14684395.4,11201094.24,7721529.966,10032490.42,14608743.12,2155146.171,1793394.033,1964004.102,1219654.089,5678136.003,4338833.442,5231289.153,3083006.922,9881014.791,5118319.605,12405574.85,11253795.94,6015620.163,13459625.45,10191157.6,6501512.136,5286589.398,5059515.489,1609768.812,1783105.56
6286816.884,5203397.979,4731423.21,4792707.357,3853558.206,4428848.556,4047191.775,2792235.504,3503403.069,3613707.435,4502051.292,6676206.075,6203543.379,4937140.128,4663568.697,5029540.959,2771107.212,6595010.916,7598205.42,3958173.918,5126135.25,5388910.425,5162359.371,7660989.81,7601870.001,4830320.514,5363812.968,5042588.556,4783398.63,3450987.114,7160047.335,8346928.461,4819118.349,5731363.101,7926071.343,4455739.827,5216063.49,4372651.566,4232180.307,4752524.172,4092470.082,7819771.572,7131969.771,5146399.362,3704279.301
1328534.604,1905268.077,1338194.049,1248859.101,1556566.953,1899302.985,1625025.423,1953845.808,1958156.859,1759199.901,1936259.562,1114894.227,1372302.108,2355624.978,1244318.127,2134017.012,2101481.835,1233407.085,1532373.642,2286964.599,1773449.82,1561139.199,2198652.675,2391583.746,1411247.676,4808519.373,5119366.638,4627102.11,3887104.602,4142102.538,3731440.029,2732998.782,3649367.556,4070883.597,3871999.404,1960400.985,2707735.599,2308006.719,2520505.851,1957418.925,1750576.77,3720601.236,979006.407,1357748.148,1856420.64
46077892.42,69031935.09,60020657.37,37012736.72,63369057.83,64982163.76,138713809.2,63704987.2,80234052.24,94084126.84,85291873.99,51024286.78,56798767.21,82124307.92,74199357.89,88758679.93,52315299.07,77616270.89,63354837.52,98561648.51,122798306.1,142554940.8,60868696.26,131510112.5,148918341.4,120490545.3,58619480.09,77176900.8,91887850.95,130341173.9,71445439.35,63037440.53,51981745.47,71395045.91,50746623.16,89334704.58,87363618.04,57215759.18,74529437.99,57630220.7,88091417.47,192292898.9,234101095,84900043.84,63170630.14
185491.395,142138.887,200564.196,145277.292,126106.695,276169.026,818089.488,397000.185,550326.324,383628.933,914610.324,507521.628,1105861.806,688968.654,3115896.147,1798892.202,1630278.633,2260013.217,2016130.011,1443104.574,2840382.222,2093856.198,1528496.145,1633006.932,2328602.598,1598910.681,1516297.581,1278558.735,861883.131,2301689.352,824654.877,1385254.323,1240970.673,2461609.011,1140844.656,2206879.677,1176962.766,1773754.62,3049128.18,1816079.847,2302103.61,2896003.872,2404488.501,764678.922,1195780.875
